"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","at LAR","1","2","1.1","0.3","22.7"
"2","undefined","","Matt Ryan","ATL","vs. TB","1","4","2.1","0.6","22.3"
"3","undefined","","Deshaun Watson","HOU","vs. IND","2","4","3.1","0.5","20.2"
"4","undefined","","Russell Wilson","SEA","at PHI","2","7","3.9","1.0","20.1"
"5","undefined","","Drew Brees","NO","vs. CAR","4","6","4.9","0.5","19.5"
"6","undefined","","Jameis Winston","TB","at ATL","5","12","6.9","1.7","19.3"
"7","undefined","","Baker Mayfield","CLE","vs. MIA","5","14","7.7","1.4","18.9"
"8","undefined","","Aaron Rodgers","GB","at SF","6","15","9.2","2.4","18.6"
"9","undefined","","Josh Allen","BUF","vs. DEN","7","14","9.2","1.6","18.5"
"10","undefined","","Dak Prescott","DAL","at NE","5","18","10.9","2.6","16.9"
"11","undefined","","Jimmy Garoppolo","SF","vs. GB","8","16","11.1","1.2","16.7"
"12","undefined","","Tom Brady","NE ","vs. DAL","9","17","12.1","2.3","16.1"
"13","undefined","","Derek Carr","OAK","at NYJ","9","16","12.1","1.7","16.0"
"14","undefined","","Jacoby Brissett","IND","at HOU","7","17","14.2","2.1","16.0"
"15","undefined","","Carson Wentz","PHI","vs. SEA","8","19","14.5","2.4","15.6"
"16","undefined","","Sam Darnold","NYJ","vs. OAK","8","17","14.7","2.0","15.6"
"17","undefined","","Jeff Driskel","DET","at WAS","12","20","16.2","1.5","15.2"
"18","undefined","","Nick Foles","JAC","at TEN","13","21","18.3","1.2","15.0"
"19","undefined","","Ryan Tannehill","TEN","vs. JAC","16","23","18.4","0.7","14.9"
"20","undefined","","Jared Goff","LAR","vs. BAL","11","24","20.3","0.7","14.5"
"21","undefined","","Ryan Fitzpatrick","MIA","at CLE","20","24","21.9","1.4","14.4"
"22","undefined","","Mason Rudolph","PIT","at CIN","20","26","22.6","1.4","13.9"
"23","undefined","","Daniel Jones","NYG","at CHI","20","26","22.9","1.9","13.7"
"24","undefined","","Kyle Allen","CAR","at NO","22","26","24.4","0.8","13.6"
"25","undefined","","Dwayne Haskins","WAS","vs. DET","22","26","24.9","1.4","13.5"
"26","undefined","","Mitch Trubisky","CHI","vs. NYG","18","28","24.3","2.2","13.4"
"27","undefined","","Brandon Allen","DEN","at BUF","25","29","27.4","0.8","13.3"
"28","undefined","","Ryan Finley","CIN","vs. PIT","27","28","27.7","0.5","13.0"
"29","undefined","","Taysom Hill","NO","vs. CAR","27","29","29.0","0.0","13.0"
"30","undefined","","Chase Daniel","CHI","vs. NYG","30","30","30.0","0.0","13.0"
"31","undefined","","Andy Dalton","CIN","vs. PIT","32","34","33.0","1.0","11.0"
"32","undefined","","Robert Griffin","BAL","at LAR","32","36","34.0","2.0","10.6"
"33","undefined","","Josh Rosen","MIA","at CLE","34","36","35.0","1.0","2.8"
"34","undefined","","Devlin Hodges","PIT","at CIN","31","42","36.5","5.5","1.2"
"35","undefined","","Case Keenum","WAS","vs. DET","37","37","37.0","0.0","1.1"
"36","undefined","","Blake Bortles","LAR","vs. BAL","35","40","37.5","2.5","0.9"
"37","undefined","","Ryan Griffin","TB","at ATL","38","41","39.5","1.5","0.9"
"38","undefined","","Gardner Minshew","JAC","at TEN","39","41","40.0","1.0","0.8"
"39","undefined","","Will Grier","CAR","at NO","38","50","44.0","6.0","0.8"
"40","undefined","","Mike Glennon","OAK","at NYJ","42","44","43.0","1.0","0.7"
"41","undefined","","Geno Smith","SEA","at PHI","43","45","44.0","1.0","0.7"
"42","undefined","","Teddy Bridgewater","NO","vs. CAR","43","45","44.0","1.0","0.7"
"43","undefined","","Jarrett Stidham","NE","vs. DAL","44","51","47.5","3.5","0.7"
""
""
