"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","at CIN","1","3","1.1","0.2","23.9"
"2","undefined","","Drew Brees","NO","vs. ATL","1","5","2.3","0.6","20.8"
"3","undefined","","Patrick Mahomes","KC","at TEN","1","9","3.4","1.0","20.3"
"4","undefined","","Jameis Winston","TB","vs. ARI","2","8","3.6","0.8","19.6"
"5","undefined","","Kyler Murray","ARI","at TB","3","7","5.4","0.8","19.5"
"6","undefined","","Aaron Rodgers","GB","vs. CAR","3","9","5.6","0.9","18.6"
"7","undefined","","Dak Prescott","DAL","vs. MIN","4","11","7.6","1.1","18.0"
"8","undefined","","Russell Wilson","SEA","at SF","5","12","7.7","1.1","17.5"
"9","undefined","","Philip Rivers","LAC","at OAK","6","11","8.8","1.0","16.8"
"10","undefined","","Matt Ryan","ATL","at NO","6","19","10.6","2.2","16.5"
"11","undefined","","Josh Allen","BUF","at CLE","9","20","12.4","1.9","16.5"
"12","undefined","","Matthew Stafford","DET","at CHI","9","19","12.4","1.8","15.8"
"13","undefined","","Jimmy Garoppolo","SF","vs. SEA","8","15","12.7","1.5","15.8"
"14","undefined","","Jared Goff","LAR","at PIT","10","18","13.3","1.9","15.5"
"15","undefined","","Daniel Jones","NYG","at NYJ","9","21","15.2","2.1","15.4"
"16","undefined","","Derek Carr","OAK","vs. LAC","12","20","16.4","1.1","15.2"
"17","undefined","","Kirk Cousins","MIN","at DAL","13","20","16.7","1.6","15.0"
"18","undefined","","Ryan Tannehill","TEN","vs. KC","11","26","17.5","2.0","14.9"
"19","undefined","","Sam Darnold","NYJ","vs. NYG","13","24","19.4","1.5","14.8"
"20","undefined","","Mitch Trubisky","CHI","vs. DET","16","25","21.2","1.5","14.8"
"21","undefined","","Ryan Fitzpatrick","MIA","at IND","17","25","22.1","1.9","13.6"
"22","undefined","","Kyle Allen","CAR","at GB","19","25","22.5","1.1","13.4"
"23","undefined","","Brian Hoyer","IND","vs. MIA","14","28","20.9","3.4","13.2"
"24","undefined","","Baker Mayfield","CLE","vs. BUF","21","26","23.6","1.3","13.2"
"25","undefined","","Mason Rudolph","PIT","vs. LAR","21","26","24.7","0.9","13.0"
"26","undefined","","Ryan Finley","CIN","vs. BAL","22","27","26.0","0.6","12.9"
"27","undefined","","Taysom Hill","NO","vs. ATL","26","29","27.6","0.6","12.6"
"28","undefined","","Matt Moore","KC","at TEN","27","31","28.9","1.0","4.5"
"29","undefined","","Andy Dalton","CIN","vs. BAL","29","31","30.1","0.5","4.1"
"30","undefined","","Marcus Mariota","TEN","vs. KC","30","32","30.9","0.6","1.7"
"31","undefined","","Josh Rosen","MIA","at IND","29","33","32.0","0.5","1.0"
"32","undefined","","Eli Manning","NYG","at NYJ","32","35","33.4","0.7","1.0"
"33","undefined","","Robert Griffin","BAL","at CIN","32","35","33.9","0.6","1.0"
"34","undefined","","Matt Barkley","BUF","at CLE","34","36","35.1","0.3","1.0"
"35","undefined","","Matt Schaub","ATL","at NO","34","36","35.0","1.0","0.7"
"36","undefined","","Teddy Bridgewater","NO","vs. ATL","36","37","36.5","0.5","0.7"
"37","undefined","","Nick Mullens","SF","vs. SEA","38","38","38.0","0.0","0.7"
""
""
