"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Patrick Mahomes","KC","vs. OAK","1","2","1.0","0.0","24.6"
"2","undefined","","Lamar Jackson","BAL","vs. SF","1","4","2.2","0.5","22.7"
"3","undefined","","Russell Wilson","SEA","vs. MIN","2","7","3.5","0.6","19.3"
"4","undefined","","Drew Brees","NO","at ATL","2","6","3.7","0.7","18.9"
"5","undefined","","Aaron Rodgers","GB","at NYG","3","11","4.9","0.8","18.9"
"6","undefined","","Kyler Murray","ARI ","vs. LAR","5","14","7.0","1.6","18.9"
"7","undefined","","Jameis Winston","TB","at JAC","5","13","7.2","1.6","18.5"
"8","undefined","","Dak Prescott","DAL","vs. BUF","6","12","8.1","1.2","18.4"
"9","undefined","","Sam Darnold","NYJ","at CIN","7","21","10.9","2.4","17.6"
"10","undefined","","Deshaun Watson","HOU","vs. NE","7","17","11.0","1.8","17.1"
"11","undefined","","Josh Allen","BUF","at DAL","5","19","11.9","1.7","17.1"
"12","undefined","","Matt Ryan","ATL","vs. NO","6","23","12.0","2.6","16.4"
"13","undefined","","Carson Wentz","PHI","at MIA","7","17","13.2","2.5","16.0"
"14","undefined","","Nick Foles","JAC","vs. TB","9","19","13.2","2.4","15.9"
"15","undefined","","Tom Brady","NE","at HOU","6","18","14.4","2.6","15.5"
"16","undefined","","Kirk Cousins","MIN","at SEA","10","20","15.0","1.7","15.3"
"17","undefined","","Jared Goff","LAR","at ARI","7","25","15.3","2.0","15.3"
"18","undefined","","Ryan Tannehill","TEN","at IND","15","24","18.3","1.3","15.3"
"19","undefined","","Jacoby Brissett","IND","vs. TEN","15","26","19.5","2.0","15.1"
"20","undefined","","Kyle Allen","CAR","vs. WAS","8","26","21.2","2.1","15.0"
"21","undefined","","Baker Mayfield","CLE","at PIT","18","28","21.6","1.5","15.0"
"22","undefined","","Daniel Jones","NYG","vs. GB","18","27","22.5","2.2","15.0"
"23","undefined","","Jimmy Garoppolo","SF","at BAL","20","31","23.4","2.1","14.9"
"24","undefined","","Derek Carr","OAK","at KC","18","28","23.7","1.8","14.9"
"25","undefined","","Mitch Trubisky","CHI","at DET","13","28","24.6","2.7","14.6"
"26","undefined","","Andy Dalton","CIN","vs. NYJ","19","28","25.3","2.7","14.5"
"27","undefined","","Philip Rivers","LAC","at DEN","18","28","25.8","2.0","14.1"
"28","undefined","","Ryan Fitzpatrick","MIA","vs. PHI","22","29","26.3","2.0","14.1"
"29","undefined","","Devlin Hodges","PIT","vs. CLE","29","30","29.2","0.4","13.7"
"30","undefined","","Dwayne Haskins","WAS","at CAR","29","32","30.7","0.9","10.9"
"31","undefined","","Drew Lock","DEN","vs. LAC","30","37","31.6","1.5","10.7"
"32","undefined","","David Blough","DET","vs. CHI","27","32","31.2","0.7","10.5"
"33","undefined","","Taysom Hill","NO","at ATL","33","34","33.1","0.3","9.7"
"34","undefined","","Brandon Allen","DEN ","vs. LAC","31","46","36.0","5.1","7.7"
"35","undefined","","Mason Rudolph","PIT ","vs. CLE","33","36","35.0","1.1","1.5"
"36","undefined","","Chase Daniel","CHI","at DET","34","40","36.8","2.4","1.0"
"37","undefined","","Ryan Finley","CIN ","vs. NYJ","36","50","40.0","5.8","1.0"
"38","undefined","","Tyrod Taylor","LAC","at DEN","33","50","40.5","6.3","0.9"
"39","undefined","","Robert Griffin","BAL","vs. SF","39","41","40.0","0.8","1.0"
"40","undefined","","Blake Bortles","LAR","at ARI","41","44","42.0","1.4","0.9"
"41","undefined","","Josh McCown","PHI","at MIA","39","52","43.7","5.9","0.9"
"42","undefined","","Matt Schaub","ATL","vs. NO","38","52","44.3","5.8","0.9"
"43","undefined","","Case Keenum","WAS","at CAR","42","49","45.0","2.9","0.9"
"44","undefined","","Ryan Griffin","TB","at JAC","43","47","45.0","1.6","0.9"
"45","undefined","","Gardner Minshew","JAC","vs. TB","45","46","45.3","0.5","0.9"
"46","undefined","","Josh Rosen","MIA","vs. PHI","46","48","47.0","0.8","0.8"
"47","undefined","","Marcus Mariota","TEN","at IND","38","57","48.0","7.8","0.8"
"48","undefined","","Matt Moore","KC","vs. OAK","43","53","48.0","4.1","0.7"
"49","undefined","","Eli Manning","NYG","vs. GB","39","56","48.3","7.0","0.7"
"50","undefined","","Matt Barkley","BUF","at DAL","42","55","49.3","5.4","0.7"
"51","undefined","","Nick Mullens","SF","at BAL","44","57","51.0","5.4","0.7"
"52","undefined","","Brian Hoyer","IND","vs. TEN","51","53","51.7","0.9","0.6"
"53","undefined","","Mike Glennon","OAK","at KC","49","55","52.7","2.6","0.6"
"54","undefined","","Jarrett Stidham","NE","at HOU","48","60","54.3","4.9","0.6"
"55","undefined","","Will Grier","CAR","vs. WAS","54","59","56.3","2.1","0.4"
"56","undefined","","Geno Smith","SEA","vs. MIN","53","63","57.7","4.1","0.4"
""
""
