"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Deshaun Watson","HOU","vs. OAK","1","2","1.0","0.2","23.5"
"2","undefined","","Russell Wilson","SEA","at ATL","1","5","2.0","0.2","22.2"
"3","undefined","","Aaron Rodgers","GB","at KC","3","7","3.4","0.8","19.1"
"4","undefined","","Jared Goff","LAR","vs. CIN","3","8","4.5","0.8","19.0"
"5","undefined","","Matthew Stafford","DET","vs. NYG","2","10","5.5","1.3","18.8"
"6","undefined","","Tom Brady","NE","vs. CLE","3","9","5.8","1.1","17.9"
"7","undefined","","Josh Allen","BUF","vs. PHI","3","10","6.4","1.5","17.6"
"8","undefined","","Kyler Murray","ARI","at NO","5","13","8.5","1.4","17.2"
"9","undefined","","Kirk Cousins","MIN","vs. WAS","5","11","8.7","0.9","16.8"
"10","undefined","","Matt Ryan","ATL","vs. SEA","7","33","10.9","4.3","16.1"
"11","undefined","","Jacoby Brissett","IND","vs. DEN","8","23","12.1","1.6","16.1"
"12","undefined","","Gardner Minshew","JAC","vs. NYJ","10","19","12.3","1.9","16.0"
"13","undefined","","Jameis Winston","TB","at TEN","11","18","14.1","1.7","16.0"
"14","undefined","","Ryan Tannehill","TEN","vs. TB","10","20","14.9","1.9","15.8"
"15","undefined","","Carson Wentz","PHI","at BUF","11","20","15.0","1.6","15.5"
"16","undefined","","Teddy Bridgewater","NO","vs. ARI","10","33","15.3","4.7","15.2"
"17","undefined","","Daniel Jones","NYG","at DET","10","22","17.3","1.5","14.8"
"18","undefined","","Mason Rudolph","PIT","vs. MIA","12","21","17.4","2.6","14.5"
"19","undefined","","Jimmy Garoppolo","SF","vs. CAR","16","27","19.9","1.6","14.5"
"20","undefined","","Derek Carr","OAK","at HOU","12","24","19.9","2.1","14.4"
"21","undefined","","Philip Rivers","LAC","at CHI","14","24","20.5","1.4","14.0"
"22","undefined","","Sam Darnold","NYJ","at JAC","14","28","21.2","2.2","13.4"
"23","undefined","","Matt Moore","KC","vs. GB","14","27","22.9","1.9","13.0"
"24","undefined","","Andy Dalton","CIN","at LAR","21","27","24.1","1.3","12.9"
"25","undefined","","Mitch Trubisky","CHI","vs. LAC","21","26","24.4","1.2","12.6"
"26","undefined","","Baker Mayfield","CLE","at NE","19","30","26.1","1.6","12.5"
"27","undefined","","Joe Flacco","DEN","at IND","18","30","27.1","1.2","11.8"
"28","undefined","","Ryan Fitzpatrick","MIA","at PIT","23","30","27.9","1.1","11.5"
"29","undefined","","Kyle Allen","CAR","at SF","26","32","29.2","1.0","10.7"
"30","undefined","","Case Keenum","WAS","at MIN","26","31","29.4","1.0","9.9"
"31","undefined","","Drew Brees","NO","vs. ARI","5","33","27.3","7.9","9.7"
"32","undefined","","Taysom Hill","NO","vs. ARI","29","33","31.7","0.6","6.2"
"33","undefined","","Matt Schaub","ATL","vs. SEA","26","33","31.9","1.1","1.8"
"34","undefined","","Josh Rosen","MIA","at PIT","33","35","34.1","0.6","1.7"
"35","undefined","","Eli Manning","NYG","at DET","34","36","35.0","0.7","1.1"
"36","undefined","","Ryan Finley","CIN","at LAR","35","51","39.5","6.7","1.0"
"37","undefined","","Marcus Mariota","TEN","vs. TB","36","44","38.8","3.1","0.9"
"38","undefined","","Devlin Hodges","PIT","vs. MIA","34","53","43.5","9.5","0.8"
""
""
