"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL ","vs. NYJ","1","2","1.1","0.3","23.4"
"2","undefined","","Deshaun Watson","HOU","at TEN","1","5","2.3","0.7","21.4"
"3","undefined","","Drew Brees","NO","vs. IND","1","5","3.3","0.7","20.4"
"4","undefined","","Patrick Mahomes","KC","vs. DEN","2","11","4.3","1.2","20.3"
"5","undefined","","Russell Wilson","SEA","at CAR","2","10","5.4","1.8","20.1"
"6","undefined","","Ryan Tannehill","TEN","vs. HOU","3","15","6.6","1.4","19.9"
"7","undefined","","Jameis Winston","TB ","at DET","4","11","6.9","1.5","18.9"
"8","undefined","","Jimmy Garoppolo","SF","vs. ATL","6","11","8.3","1.3","18.5"
"9","undefined","","Dak Prescott","DAL","vs. LAR","4","16","8.9","2.0","17.9"
"10","undefined","","Kyler Murray","ARI","vs. CLE","4","17","9.6","1.8","17.4"
"11","undefined","","Baker Mayfield","CLE","at ARI","8","25","11.8","1.6","17.4"
"12","undefined","","Aaron Rodgers","GB","vs. CHI","7","18","12.1","2.2","17.3"
"13","undefined","","Tom Brady","NE","at CIN","9","24","14.5","3.0","17.2"
"14","undefined","","Ryan Fitzpatrick","MIA","at NYG","12","21","14.9","2.2","16.8"
"15","undefined","","Carson Wentz","PHI","at WAS","7","22","15.0","2.5","16.5"
"16","undefined","","Jared Goff","LAR","at DAL","9","23","15.4","2.1","16.3"
"17","undefined","","Kirk Cousins","MIN","at LAC","12","28","17.2","2.7","16.2"
"18","undefined","","Gardner Minshew","JAC","at OAK","13","25","19.5","2.1","16.2"
"19","undefined","","Josh Allen","BUF","at PIT","11","27","19.9","2.5","16.1"
"20","undefined","","Mitch Trubisky","CHI","at GB","12","25","20.3","3.2","15.3"
"21","undefined","","Matt Ryan","ATL","at SF","11","25","20.4","3.0","15.2"
"22","undefined","","Eli Manning","NYG","vs. MIA","14","27","21.5","2.4","15.2"
"23","undefined","","Derek Carr","OAK","vs. JAC","14","25","22.1","2.2","14.6"
"24","undefined","","Philip Rivers","LAC","vs. MIN","7","26","22.4","3.5","14.4"
"25","undefined","","Jacoby Brissett","IND","at NO","15","29","23.7","2.5","14.4"
"26","undefined","","Kyle Allen","CAR","vs. SEA","20","29","26.0","2.1","14.2"
"27","undefined","","David Blough","DET","vs. TB","17","29","25.5","2.2","14.1"
"28","undefined","","Drew Lock","DEN","at KC","21","29","27.7","0.8","12.6"
"29","undefined","","Sam Darnold","NYJ","at BAL","25","32","29.3","1.2","12.1"
"30","undefined","","Andy Dalton","CIN","vs. NE","28","31","30.4","0.6","11.5"
"31","undefined","","Devlin Hodges","PIT","vs. BUF","29","32","31.0","1.0","10.9"
"32","undefined","","Dwayne Haskins","WAS","vs. PHI","29","33","31.3","1.0","10.6"
"33","undefined","","Taysom Hill","NO","vs. IND","33","34","33.1","0.2","1.1"
"34","undefined","","Case Keenum","WAS","vs. PHI","32","43","35.6","2.8","1.0"
"35","undefined","","Robert Griffin","BAL","vs. NYJ","34","36","34.5","0.8","1.0"
"36","undefined","","Ryan Griffin","TB","at DET","34","37","35.8","1.0","0.9"
"37","undefined","","Tyrod Taylor","LAC","vs. MIN","34","38","36.0","1.6","0.9"
"38","undefined","","Nick Foles","JAC","at OAK","36","40","38.3","1.5","0.9"
"39","undefined","","Josh McCown","PHI","at WAS","38","46","41.3","2.9","0.9"
"40","undefined","","Matt Schaub","ATL","at SF","41","50","44.3","3.7","0.9"
"41","undefined","","Matt Barkley","BUF","at PIT","42","49","44.3","2.9","0.8"
"42","undefined","","Matt Moore","KC","vs. DEN","39","43","40.3","1.9","0.9"
"43","undefined","","Geno Smith","SEA","at CAR","39","50","44.5","3.9","0.8"
"44","undefined","","Blake Bortles","LAR","at DAL","42","47","44.8","2.3","0.8"
"45","undefined","","Teddy Bridgewater","NO","vs. IND","38","51","45.3","4.7","0.8"
"46","undefined","","Will Grier","CAR","vs. SEA","37","53","45.5","5.9","0.8"
"47","undefined","","Mason Rudolph","PIT","vs. BUF","42","52","47.3","3.6","0.8"
"48","undefined","","Brian Hoyer","IND","at NO","40","41","40.5","0.5","0.7"
"49","undefined","","Chase Daniel","CHI","at GB","37","46","41.5","4.5","0.7"
"50","undefined","","Brandon Allen","DEN","at KC","44","56","49.3","4.4","0.4"
"51","undefined","","Marcus Mariota","TEN","vs. HOU","43","53","49.5","3.9","0.4"
"52","undefined","","AJ McCarron","HOU","at TEN","48","54","50.5","2.3","0.7"
"53","undefined","","Kyle Sloter","DET","vs. TB","45","59","51.0","5.2","0.7"
"54","undefined","","Josh Rosen","MIA","at NYG","49","54","52.0","2.1","0.4"
"55","undefined","","Ryan Finley","CIN","vs. NE","45","58","53.0","4.8","0.3"
"56","undefined","","Cooper Rush","DAL","vs. LAR","52","63","56.0","5.0","0.3"
"57","undefined","","Brett Hundley","ARI","vs. CLE","53","57","55.0","2.0","0.3"
"58","undefined","","Nick Mullens","SF","vs. ATL","55","61","58.0","3.0","0.2"
"59","undefined","","Sean Mannion","MIN","at LAC","56","62","59.0","3.0","0.2"
""
""
