"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","vs. HOU","1","3","1.1","0.3","23.0"
"2","undefined","","Patrick Mahomes","KC","at LAC","1","4","1.9","0.4","21.1"
"3","undefined","","Deshaun Watson","HOU","at BAL","2","8","3.8","1.1","20.3"
"4","undefined","","Dak Prescott","DAL","at DET","2","6","4.2","0.8","20.3"
"5","undefined","","Drew Brees","NO","at TB","2","10","4.6","1.3","20.0"
"6","undefined","","Josh Allen","BUF","at MIA","3","8","6.3","1.0","18.8"
"7","undefined","","Jameis Winston","TB","vs. NO","4","11","7.5","1.6","18.2"
"8","undefined","","Tom Brady","NE","at PHI","4","14","7.8","1.3","17.9"
"9","undefined","","Derek Carr","OAK","vs. CIN","5","12","9.0","1.2","17.4"
"10","undefined","","Jimmy Garoppolo","SF","vs. ARI","7","16","11.1","1.5","17.3"
"11","undefined","","Matt Ryan","ATL","at CAR","7","18","11.1","2.0","17.0"
"12","undefined","","Philip Rivers","LAC","vs. KC","5","16","11.5","1.8","16.7"
"13","undefined","","Kyle Allen","CAR","vs. ATL","9","15","12.3","1.0","16.1"
"14","undefined","","Kyler Murray","ARI","at SF","10","25","14.1","1.6","15.9"
"15","undefined","","Kirk Cousins","MIN","vs. DEN","13","22","15.5","1.1","15.7"
"16","undefined","","Jacoby Brissett","IND","vs. JAC","9","22","16.8","1.9","15.6"
"17","undefined","","Jared Goff","LAR","vs. CHI","14","23","16.9","1.6","15.2"
"18","undefined","","Nick Foles","JAC","at IND","14","22","18.5","1.4","15.0"
"19","undefined","","Carson Wentz","PHI","vs. NE","13","24","18.9","1.3","14.9"
"20","undefined","","Sam Darnold","NYJ","at WAS","12","27","19.6","2.5","14.9"
"21","undefined","","Baker Mayfield","CLE","vs. PIT","18","24","20.5","1.0","13.8"
"22","undefined","","Mason Rudolph","PIT","at CLE","19","26","22.7","0.9","13.6"
"23","undefined","","Ryan Finley","CIN","at OAK","16","27","23.0","2.2","13.5"
"24","undefined","","Ryan Fitzpatrick","MIA","vs. BUF","21","28","24.3","1.2","13.4"
"25","undefined","","Jeff Driskel","DET","vs. DAL","12","29","24.7","3.0","13.3"
"26","undefined","","Mitch Trubisky","CHI","at LAR","20","27","25.0","1.3","13.3"
"27","undefined","","Brandon Allen","DEN","at MIN","24","28","27.2","1.0","13.0"
"28","undefined","","Dwayne Haskins","WAS","vs. NYJ","23","28","27.0","0.9","13.0"
"29","undefined","","Taysom Hill","NO","at TB","29","30","29.2","0.4","11.2"
"30","undefined","","Brian Hoyer","IND","vs. JAC","29","41","31.0","3.2","10.2"
"31","undefined","","Robert Griffin","BAL","vs. HOU","31","32","31.6","0.5","9.8"
"32","undefined","","Blake Bortles","LAR","vs. CHI","32","39","33.4","2.2","9.7"
"33","undefined","","Case Keenum","WAS","vs. NYJ","33","40","34.4","2.2","9.0"
"34","undefined","","Gardner Minshew","JAC","at IND","34","39","35.1","1.5","8.8"
"35","undefined","","Andy Dalton","CIN","at OAK","31","43","36.3","4.3","1.8"
"36","undefined","","Josh Rosen","MIA","vs. BUF","36","37","36.8","0.4","1.1"
"37","undefined","","Mike Glennon","OAK","vs. CIN","35","40","37.5","1.8","0.9"
"38","undefined","","Matt Barkley","BUF","at MIA","36","41","38.5","1.8","0.9"
"39","undefined","","Tyrod Taylor","LAC","vs. KC","35","44","39.5","3.2","0.9"
"40","undefined","","Teddy Bridgewater","NO","at TB","40","42","41.3","0.8","0.9"
"41","undefined","","Chase Daniel","CHI","at LAR","30","42","36.0","6.0","0.9"
"42","undefined","","Matt Moore","KC","at LAC","33","44","38.5","5.5","0.9"
"43","undefined","","Matt Schaub","ATL","at CAR","34","45","39.5","5.5","0.9"
"44","undefined","","Ryan Griffin","TB","vs. NO","38","46","42.0","4.0","0.9"
"45","undefined","","Chad Kelly","IND","vs. JAC","36","50","43.0","7.0","0.9"
"46","undefined","","Devlin Hodges","PIT","at CLE","38","48","43.0","5.0","0.8"
"47","undefined","","Josh McCown","PHI","vs. NE","43","45","44.0","1.0","0.8"
"48","undefined","","Sean Mannion","MIN","vs. DEN","45","49","47.0","2.0","0.8"
"49","undefined","","Garrett Gilbert","CLE","vs. PIT","47","47","47.0","0.0","0.7"
"50","undefined","","Jarrett Stidham","NE","at PHI","43","54","48.5","5.5","0.7"
"51","undefined","","Nick Mullens","SF","vs. ARI","48","53","50.5","2.5","0.6"
""
""
