"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Russell Wilson","SEA","vs. TB","1","1","1.0","0.0","22.1"
"2","undefined","","Deshaun Watson","HOU","at JAC","2","7","2.1","0.3","20.7"
"3","undefined","","Aaron Rodgers","GB","at LAC","2","7","3.5","0.8","20.0"
"4","undefined","","Dak Prescott","DAL","at NYG","2","5","3.6","0.6","19.4"
"5","undefined","","Matthew Stafford","DET","at OAK","3","8","5.1","0.5","19.0"
"6","undefined","","Lamar Jackson","BAL","vs. NE","4","12","6.3","1.0","18.8"
"7","undefined","","Josh Allen","BUF","vs. WAS","5","10","6.8","0.8","18.8"
"8","undefined","","Gardner Minshew","JAC","vs. HOU","7","11","8.2","0.9","18.0"
"9","undefined","","Tom Brady","NE","at BAL","8","16","9.7","1.0","17.6"
"10","undefined","","Jameis Winston","TB","at SEA","8","17","10.2","1.0","17.2"
"11","undefined","","Kirk Cousins","MIN","at KC","7","16","11.4","1.5","16.8"
"12","undefined","","Derek Carr","OAK","vs. DET","6","14","11.5","1.3","16.6"
"13","undefined","","Carson Wentz","PHI","vs. CHI","10","21","14.3","1.8","16.2"
"14","undefined","","Sam Darnold","NYJ","at MIA","11","24","14.8","2.6","16.1"
"15","undefined","","Philip Rivers","LAC","vs. GB","12","19","15.3","1.4","16.0"
"16","undefined","","Jimmy Garoppolo","SF","at ARI","13","20","15.9","1.6","15.4"
"17","undefined","","Daniel Jones","NYG","vs. DAL","13","21","16.3","1.6","15.3"
"18","undefined","","Kyler Murray","ARI","vs. SF","12","22","17.9","1.9","15.2"
"19","undefined","","Jacoby Brissett","IND","at PIT","15","20","17.9","1.1","15.1"
"20","undefined","","Mason Rudolph","PIT","vs. IND","18","24","21.1","1.4","14.7"
"21","undefined","","Kyle Allen","CAR","vs. TEN","19","24","21.9","0.9","14.5"
"22","undefined","","Mitch Trubisky","CHI","at PHI","18","25","22.1","1.2","14.2"
"23","undefined","","Matt Moore","KC","vs. MIN","17","29","22.7","3.0","13.8"
"24","undefined","","Ryan Tannehill","TEN","at CAR","20","26","24.2","1.5","13.6"
"25","undefined","","Baker Mayfield","CLE","at DEN","20","26","24.7","1.0","13.3"
"26","undefined","","Ryan Fitzpatrick","MIA","vs. NYJ","19","26","25.1","1.1","13.3"
"27","undefined","","Brandon Allen","DEN","vs. CLE","27","27","27.0","0.0","13.1"
"28","undefined","","Dwayne Haskins","WAS","at BUF","28","30","28.4","0.6","13.0"
"29","undefined","","Patrick Mahomes","KC","vs. MIN","4","52","26.3","14.6","12.9"
"30","undefined","","Marcus Mariota","TEN","at CAR","29","31","30.4","0.8","11.4"
"31","undefined","","Ryan Griffin","TB","at SEA","32","35","33.0","1.2","11.4"
"32","undefined","","Matt Barkley","BUF","vs. WAS","32","34","33.3","0.8","10.5"
"33","undefined","","Colt McCoy","WAS","at BUF","30","34","31.7","1.7","7.5"
"34","undefined","","Tyrod Taylor","LAC","vs. GB","33","36","34.5","1.1","2.7"
"35","undefined","","Josh Rosen","MIA","vs. NYJ","30","38","34.0","4.0","2.4"
"36","undefined","","Jarrett Stidham","NE","at BAL","32","39","35.5","3.5","1.2"
"37","undefined","","Mike Glennon","OAK","vs. DET","35","42","37.7","3.1","1.1"
"38","undefined","","Josh McCown","PHI","vs. CHI","36","48","40.3","5.4","0.9"
"39","undefined","","Geno Smith","SEA","vs. TB","37","38","37.5","0.5","0.8"
"40","undefined","","Devlin Hodges","PIT","vs. IND","40","43","41.5","1.5","0.7"
"41","undefined","","Brett Rypien","DEN","vs. CLE","41","45","43.0","2.0","0.7"
""
""
