"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Drew Brees","NO","vs. MIN","1","6","1.1","0.3","18.2"
"2","undefined","","Russell Wilson","SEA","at PHI","1","7","2.8","1.2","18.2"
"3","undefined","","Josh Allen","BUF","at HOU","1","5","3.0","1.0","17.7"
"4","undefined","","Deshaun Watson","HOU","vs. BUF","2","6","4.1","1.1","17.3"
"5","undefined","","Carson Wentz","PHI","vs. SEA","3","8","4.8","1.0","16.8"
"6","undefined","","Kirk Cousins","MIN","at NO","3","8","6.2","1.3","15.4"
"7","undefined","","Tom Brady","NE","vs. TEN","3","8","6.7","1.3","15.3"
"8","undefined","","Ryan Tannehill","TEN","at NE","5","8","7.3","1.0","13.6"
"9","undefined","","Taysom Hill","NO","vs. MIN","9","9","9.0","0.0","1.5"
""
""
