"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","at CLE","1","3","1.0","0.0","24.2"
"2","undefined","","Deshaun Watson","HOU","at TB","2","4","2.3","0.4","21.2"
"3","undefined","","Russell Wilson","SEA","vs. ARI","1","5","2.8","0.5","20.8"
"4","undefined","","Patrick Mahomes","KC","at CHI","2","6","4.2","0.5","19.7"
"5","undefined","","Jameis Winston","TB ","vs. HOU","4","9","5.4","1.0","19.5"
"6","undefined","","Drew Brees","NO","at TEN","3","11","6.1","0.9","18.7"
"7","undefined","","Matt Ryan","ATL","vs. JAC","4","15","7.5","1.5","18.3"
"8","undefined","","Dak Prescott","DAL","at PHI","5","15","8.9","1.8","18.3"
"9","undefined","","Kyler Murray","ARI","at SEA","7","19","8.9","1.4","17.8"
"10","undefined","","Ryan Tannehill","TEN","vs. NO","5","15","9.8","1.6","17.8"
"11","undefined","","Ryan Fitzpatrick","MIA","vs. CIN","8","20","11.7","2.1","17.2"
"12","undefined","","Kirk Cousins","MIN","vs. GB","7","21","12.8","1.7","17.1"
"13","undefined","","Carson Wentz","PHI","vs. DAL","7","17","13.0","1.6","16.7"
"14","undefined","","Aaron Rodgers","GB","at MIN","5","19","13.1","2.1","16.6"
"15","undefined","","Philip Rivers","LAC","vs. OAK","7","18","14.1","2.1","16.5"
"16","undefined","","Jimmy Garoppolo","SF","vs. LAR","12","19","15.8","0.9","16.4"
"17","undefined","","Gardner Minshew","JAC","at ATL","10","23","17.2","2.1","16.3"
"18","undefined","","Andy Dalton","CIN","at MIA","13","29","19.2","1.7","16.0"
"19","undefined","","Mitch Trubisky","CHI","vs. KC","14","25","19.3","1.9","15.8"
"20","undefined","","Jacoby Brissett","IND","vs. CAR","13","27","20.9","3.0","15.0"
"21","undefined","","Daniel Jones","NYG","at WAS","15","31","21.5","3.3","14.7"
"22","undefined","","Drew Lock","DEN","vs. DET","17","26","21.6","2.0","14.6"
"23","undefined","","Josh Allen","BUF","at NE","17","30","21.5","2.1","14.4"
"24","undefined","","Tom Brady","NE","vs. BUF","22","29","24.4","1.1","14.2"
"25","undefined","","Jared Goff","LAR","at SF","19","29","23.5","1.9","13.7"
"26","undefined","","Dwayne Haskins","WAS","vs. NYG","17","30","26.3","1.6","13.4"
"27","undefined","","Derek Carr","OAK","at LAC","22","29","26.5","1.0","12.4"
"28","undefined","","Baker Mayfield","CLE","vs. BAL","23","30","28.1","1.2","12.1"
"29","undefined","","Will Grier","CAR","at IND","21","32","28.4","1.9","11.8"
"30","undefined","","Sam Darnold","NYJ","vs. PIT","27","32","30.3","1.0","11.7"
"31","undefined","","Devlin Hodges","PIT","at NYJ","24","32","30.3","1.0","11.3"
"32","undefined","","David Blough","DET","at DEN","30","33","31.8","0.6","10.9"
"33","undefined","","Taysom Hill","NO","at TEN","33","34","33.1","0.3","8.0"
"34","undefined","","Eli Manning","NYG ","at WAS","32","46","35.7","3.4","8.0"
"35","undefined","","Robert Griffin","BAL","at CLE","34","38","35.2","1.3","1.7"
"36","undefined","","Mason Rudolph","PIT","at NYJ","33","36","34.9","0.9","1.0"
"37","undefined","","Kyle Allen","CAR ","at IND","35","43","37.0","2.8","0.9"
"38","undefined","","Tyrod Taylor","LAC","vs. OAK","35","38","36.8","1.0","0.9"
"39","undefined","","Brian Hoyer","IND","vs. CAR","39","44","40.6","1.9","0.9"
"40","undefined","","Teddy Bridgewater","NO","at TEN","37","46","41.0","3.2","0.9"
"41","undefined","","Case Keenum","WAS","vs. NYG","38","47","42.2","4.1","0.9"
"42","undefined","","Cooper Rush","DAL","at PHI","35","62","43.0","9.8","0.9"
"43","undefined","","Josh McCown","PHI","vs. DAL","40","48","43.4","2.9","0.9"
"44","undefined","","Chase Daniel","CHI","vs. KC","43","45","44.0","0.7","0.8"
"45","undefined","","Matt Moore","KC","at CHI","40","55","47.3","5.5","0.8"
"46","undefined","","Blake Bortles","LAR","at SF","39","48","43.3","3.7","0.8"
"47","undefined","","Ryan Finley","CIN","at MIA","44","52","48.3","3.3","0.8"
"48","undefined","","Ryan Griffin","TB","vs. HOU","39","50","43.7","4.6","0.7"
"49","undefined","","Matt Barkley","BUF","at NE","41","48","45.3","3.1","0.7"
"50","undefined","","Matt Schaub","ATL","vs. JAC","45","56","50.5","4.6","0.7"
"51","undefined","","Nick Foles","JAC","at ATL","46","56","51.3","4.3","0.7"
"52","undefined","","Marcus Mariota","TEN","vs. NO","49","56","51.8","2.9","0.7"
"53","undefined","","Jarrett Stidham","NE","vs. BUF","40","62","50.3","9.0","0.6"
"54","undefined","","Josh Rosen","MIA","vs. CIN","51","55","52.7","1.7","0.6"
"55","undefined","","Brandon Allen","DEN","vs. DET","53","57","54.7","1.7","0.6"
"56","undefined","","Geno Smith","SEA","vs. ARI","51","59","55.7","3.4","0.6"
"57","undefined","","Mike Glennon","OAK ","at LAC","52","53","52.5","0.5","0.4"
"58","undefined","","Kyle Sloter","DET","at DEN","50","58","54.0","4.0","0.4"
"59","undefined","","AJ McCarron","HOU","at TB","57","60","58.3","1.2","0.4"
"60","undefined","","Nick Mullens","SF","vs. LAR","58","61","59.7","1.2","0.3"
"61","undefined","","Sean Mannion","MIN","vs. GB","59","61","60.0","0.8","0.3"
""
""
