"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","vs. KC","1","4","1.5","0.9","24.4"
"2","undefined","","Kyler Murray","ARI","vs. DET","1","4","2.3","0.8","24.0"
"3","undefined","","Russell Wilson","SEA","vs. DAL","1","6","2.5","0.8","23.1"
"4","undefined","","Dak Prescott","DAL","at SEA","2","8","4.1","1.1","22.5"
"5","undefined","","Patrick Mahomes II","KC","at BAL","2","9","5.5","0.6","21.8"
"6","undefined","","Cam Newton","NE","vs. LV","3","10","5.8","1.2","21.1"
"7","undefined","","Josh Allen","BUF","vs. LAR","4","11","6.6","1.1","20.5"
"8","undefined","","Matt Ryan","ATL","vs. CHI","7","20","8.9","1.5","19.9"
"9","undefined","","Ben Roethlisberger","PIT","vs. HOU","6","16","9.8","1.8","19.4"
"10","undefined","","Aaron Rodgers","GB","at NO","5","19","11.0","2.4","18.9"
"11","undefined","","Gardner Minshew II","JAC","vs. MIA","8","21","11.8","2.1","18.5"
"12","undefined","","Matthew Stafford","DET","at ARI","8","17","12.6","2.2","18.3"
"13","undefined","","Deshaun Watson","HOU","at PIT","8","18","12.8","2.2","18.1"
"14","undefined","","Carson Wentz","PHI","vs. CIN","8","20","13.6","2.2","18.0"
"15","undefined","","Ryan Tannehill","TEN","at MIN","8","19","14.5","2.2","17.8"
"16","undefined","","Drew Brees","NO","vs. GB","8","23","16.1","3.1","17.6"
"17","undefined","","Joe Burrow","CIN","at PHI","13","21","17.1","1.4","17.3"
"18","undefined","","Tom Brady","TB","at DEN","9","22","17.7","2.3","17.1"
"19","undefined","","Ryan Fitzpatrick","MIA","at JAC","14","30","20.4","3.4","16.9"
"20","undefined","","Mitchell Trubisky","CHI","at ATL","10","22","18.8","2.5","16.6"
"21","undefined","","Philip Rivers","IND","vs. NYJ","17","26","21.5","2.1","16.5"
"22","undefined","","Jared Goff","LAR","at BUF","14","28","21.7","2.2","16.4"
"23","undefined","","Justin Herbert","LAC","vs. CAR","13","29","22.1","2.8","16.3"
"24","undefined","","Baker Mayfield","CLE","vs. WAS","12","27","24.2","1.3","16.2"
"25","undefined","","Kirk Cousins","MIN","vs. TEN","22","28","25.5","1.5","16.0"
"26","undefined","","Daniel Jones","NYG","vs. SF","21","28","24.6","1.5","15.7"
"27","undefined","","Teddy Bridgewater","CAR","at LAC","22","30","28.0","1.6","15.3"
"28","undefined","","Derek Carr","LV","at NE","25","32","28.7","1.3","14.8"
"29","undefined","","Dwayne Haskins","WAS","at CLE","25","33","29.5","1.4","13.9"
"30","undefined","","Nick Mullens","SF","at NYG","22","32","28.3","2.1","13.1"
"31","undefined","","Jeff Driskel","DEN","vs. TB","25","32","30.4","1.5","11.7"
"32","undefined","","Sam Darnold","NYJ","at IND","29","34","31.7","0.7","7.5"
"33","undefined","","Taysom Hill","NO","vs. GB","33","39","33.3","1.2","7.1"
"34","undefined","","Jalen Hurts","PHI","vs. CIN","34","37","34.4","1.0","0"
"35","undefined","","Nick Foles","CHI","at ATL","35","37","35.6","0.8","0"
"36","undefined","","Tua Tagovailoa","MIA","at JAC","33","36","35.0","1.2","0"
"37","undefined","","Robert Griffin III","BAL","vs. KC","35","40","37.3","2.1","0"
"38","undefined","","Jacoby Brissett","IND","vs. NYJ","37","39","38.0","0.8","0"
"39","undefined","","Brian Hoyer","NE","vs. LV","38","42","40.3","1.7","0"
"40","undefined","","Jameis Winston","NO","vs. GB","39","44","41.0","2.2","0"
"41","undefined","","Mason Rudolph","PIT","vs. HOU","41","46","43.0","2.2","0"
"42","undefined","","AJ McCarron","HOU","at PIT","38","58","45.3","9.0","0"
"43","undefined","","Case Keenum","CLE","vs. WAS","42","50","45.7","3.3","0"
"44","undefined","","Matt Barkley","BUF","vs. LAR","38","57","49.8","7.1","0"
"45","undefined","","Chad Henne","KC","at BAL","43","53","46.7","4.5","0"
"46","undefined","","Phillip Walker","CAR","at LAC","43","56","47.7","5.9","0"
"47","undefined","","Colt McCoy","NYG","vs. SF","46","50","47.7","1.7","0"
"48","undefined","","Geno Smith","SEA","vs. DAL","47","51","48.7","1.7","0"
"49","undefined","","Brett Hundley","ARI","vs. DET","45","54","49.7","3.7","0"
"50","undefined","","Blaine Gabbert","TB","at DEN","49","51","49.7","0.9","0"
"51","undefined","","Matt Schaub","ATL","vs. CHI","46","59","50.7","5.9","0"
"52","undefined","","Kyle Allen","WAS","at CLE","43","57","51.0","5.9","0"
"53","undefined","","Brett Rypien","DEN","vs. TB","36","58","47.0","11.0","0"
"54","undefined","","Chase Daniel","DET","at ARI","39","56","47.5","8.5","0"
"55","undefined","","Mike Glennon","JAC","vs. MIA","52","52","52.0","0.0","0"
"56","undefined","","Josh McCown","PHI","vs. CIN","45","58","51.5","6.5","0"
"57","undefined","","Trevor Siemian","TEN","at MIN","54","55","54.7","0.5","0"
"58","undefined","","Nathan Peterman","LV","at NE","55","60","57.0","2.2","0"
""
""
