"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","at BUF","1","6","1.4","0.8","21.5"
"2","undefined","","Aaron Rodgers","GB","vs. WAS","1","7","2.7","1.2","19.4"
"3","undefined","","Deshaun Watson","HOU","vs. DEN","1","5","2.9","1.1","19.3"
"4","undefined","","Russell Wilson","SEA","at LAR","1","11","4.1","1.2","19.2"
"5","undefined","","Patrick Mahomes","KC","at NE","3","10","5.3","1.6","19.0"
"6","undefined","","Carson Wentz","PHI","vs. NYG","2","8","5.7","1.3","18.8"
"7","undefined","","Jameis Winston","TB","vs. IND","4","13","7.2","1.5","18.4"
"8","undefined","","Kirk Cousins","MIN","vs. DET","3","14","8.0","1.9","18.3"
"9","undefined","","Dak Prescott","DAL","at CHI","7","18","9.5","1.4","18.2"
"10","undefined","","Matt Ryan","ATL","vs. CAR","5","18","10.3","2.4","18.0"
"11","undefined","","Sam Darnold","NYJ","vs. MIA","6","19","11.3","1.9","17.6"
"12","undefined","","Ryan Tannehill","TEN","at OAK","10","18","12.5","1.8","17.5"
"13","undefined","","Kyler Murray","ARI","vs. PIT","9","22","13.1","2.1","16.9"
"14","undefined","","Josh Allen","BUF","vs. BAL","7","24","14.2","2.2","16.7"
"15","undefined","","Tom Brady","NE","vs. KC","10","19","14.5","2.2","16.7"
"16","undefined","","Baker Mayfield","CLE","vs. CIN","10","22","16.0","2.4","16.6"
"17","undefined","","Jared Goff","LAR","vs. SEA","10","20","16.3","1.7","16.2"
"18","undefined","","Ryan Fitzpatrick","MIA","at NYJ","9","25","17.3","2.3","15.6"
"19","undefined","","Drew Brees","NO","vs. SF","13","21","18.1","1.8","15.2"
"20","undefined","","Jacoby Brissett","IND","at TB","13","26","20.3","1.7","15.1"
"21","undefined","","Kyle Allen","CAR","at ATL","19","25","21.4","1.2","15.1"
"22","undefined","","Jimmy Garoppolo","SF","at NO","17","26","22.4","1.1","15.0"
"23","undefined","","Philip Rivers","LAC","at JAC","19","26","23.3","1.0","14.5"
"24","undefined","","Derek Carr","OAK","vs. TEN","19","30","25.0","2.0","14.5"
"25","undefined","","Mitch Trubisky","CHI","vs. DAL","20","28","25.1","2.0","14.4"
"26","undefined","","Gardner Minshew","JAC","vs. LAC","19","29","24.9","2.4","14.4"
"27","undefined","","Devlin Hodges","PIT","at ARI","15","29","26.5","2.1","13.9"
"28","undefined","","Andy Dalton","CIN","at CLE","18","30","27.1","1.6","13.9"
"29","undefined","","Drew Lock","DEN","at HOU","29","31","30.2","0.7","11.9"
"30","undefined","","David Blough","DET","at MIN","28","32","30.4","0.8","11.7"
"31","undefined","","Eli Manning","NYG","at PHI","25","33","29.2","1.8","13.4"
"32","undefined","","Dwayne Haskins","WAS","at GB","29","33","31.9","0.5","11.3"
"33","undefined","","Taysom Hill","NO","vs. SF","32","33","32.9","0.3","10.0"
"34","undefined","","Tyrod Taylor","LAC","at JAC","34","36","34.3","0.7","8.8"
"35","undefined","","Blake Bortles","LAR","vs. SEA","35","42","36.8","3.0","1.2"
"36","undefined","","Marcus Mariota","TEN","at OAK","36","48","40.3","4.6","1.0"
"37","undefined","","Brandon Allen","DEN","at HOU","37","46","42.0","3.2","1.0"
"38","undefined","","Ryan Griffin","TB","vs. IND","38","51","42.3","5.2","1.0"
"39","undefined","","Ryan Finley","CIN","at CLE","39","49","44.0","3.5","0.9"
"40","undefined","","Mike Glennon","OAK","vs. TEN","36","42","39.7","2.6","0.9"
"41","undefined","","Matt Barkley","BUF","vs. BAL","37","43","40.3","2.5","0.9"
"42","undefined","","Will Grier","CAR","at ATL","37","53","43.3","6.9","0.8"
"43","undefined","","Matt Schaub","ATL","vs. CAR","36","57","43.7","9.5","0.8"
"44","undefined","","Matt Moore","KC","at NE","40","56","46.3","6.9","0.7"
"45","undefined","","Chase Daniel","CHI","vs. DAL","34","49","41.5","7.5","1.0"
"46","undefined","","Jarrett Stidham","NE","vs. KC","47","50","48.0","1.4","0.4"
"47","undefined","","Josh McCown","PHI","vs. NYG","35","50","42.5","7.5","0.9"
"48","undefined","","Brian Hoyer","IND","at TB","37","48","42.5","5.5","0.8"
"49","undefined","","Teddy Bridgewater","NO","vs. SF","45","59","49.7","6.6","0.6"
"50","undefined","","Robert Griffin","BAL","at BUF","38","52","45.0","7.0","0.8"
"51","undefined","","Nick Foles","JAC ","vs. LAC","39","51","45.0","6.0","0.8"
"52","undefined","","Geno Smith","SEA","at LAR","46","58","50.0","5.7","0.5"
"53","undefined","","Case Keenum","WAS","at GB","40","53","46.5","6.5","0.7"
"54","undefined","","Garrett Gilbert","CLE","vs. CIN","45","55","50.0","5.0","0.6"
"55","undefined","","Mason Rudolph","PIT","at ARI","44","58","51.0","7.0","0.6"
"56","undefined","","AJ McCarron","HOU","vs. DEN","54","55","54.5","0.5","0.3"
"57","undefined","","Kyle Sloter","DET","at MIN","54","57","55.5","1.5","0.4"
"58","undefined","","Nick Mullens","SF","at NO","56","62","59.0","3.0","0.3"
"59","undefined","","Tim Boyle","GB","vs. WAS","59","64","61.5","2.5","0.3"
""
""
