"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Lamar Jackson","BAL","vs. TEN","1","2","1.1","0.3","24.1"
"2","undefined","","Patrick Mahomes","KC","vs. HOU","1","2","1.9","0.3","22.2"
"3","undefined","","Deshaun Watson","HOU","at KC","3","5","3.6","0.6","18.6"
"4","undefined","","Russell Wilson","SEA","at GB","3","5","4.0","0.7","18.2"
"5","undefined","","Aaron Rodgers","GB","vs. SEA","3","6","4.4","0.8","17.9"
"6","undefined","","Jimmy Garoppolo","SF","vs. MIN","5","7","6.1","0.3","15.4"
"7","undefined","","Ryan Tannehill","TEN","at BAL","6","8","7.3","0.5","13.9"
"8","undefined","","Kirk Cousins","MIN","at SF","6","8","7.7","0.5","13.3"
""
""
