"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Patrick Mahomes","KC","vs. IND","1","1","1.0","0.0","24.8"
"2","undefined","","Deshaun Watson","HOU","vs. ATL","2","4","2.6","0.5","20.9"
"3","undefined","","Lamar Jackson","BAL","at PIT","2","6","2.7","1.0","20.3"
"4","undefined","","Russell Wilson","SEA","vs. LAR","2","8","4.6","0.9","18.9"
"5","undefined","","Carson Wentz","PHI","vs. NYJ","3","8","5.5","1.1","18.6"
"6","undefined","","Tom Brady","NE","at WAS","4","17","5.7","1.6","18.5"
"7","undefined","","Matt Ryan","ATL","at HOU","5","11","8.0","1.4","18.2"
"8","undefined","","Kyler Murray","ARI","at CIN","4","14","9.1","2.1","18.1"
"9","undefined","","Dak Prescott","DAL","vs. GB","6","15","9.4","1.7","17.7"
"10","undefined","","Aaron Rodgers","GB","at DAL","6","17","10.5","1.8","17.5"
"11","undefined","","Jameis Winston","TB","at NO","6","15","10.7","2.2","17.5"
"12","undefined","","Jacoby Brissett","IND","at KC","5","17","11.5","2.6","17.2"
"13","undefined","","Philip Rivers","LAC","vs. DEN","9","19","13.0","2.0","17.1"
"14","undefined","","Jared Goff","LAR","at SEA","3","17","13.1","1.5","17.0"
"15","undefined","","Andy Dalton","CIN","vs. ARI","7","18","15.1","2.2","16.6"
"16","undefined","","Jimmy Garoppolo","SF","vs. CLE","7","19","15.6","1.4","14.4"
"17","undefined","","Baker Mayfield","CLE","at SF","14","24","17.0","1.6","14.3"
"18","undefined","","Kirk Cousins","MIN","at NYG","12","21","17.0","1.7","14.2"
"19","undefined","","Daniel Jones","NYG","vs. MIN","18","23","20.5","1.5","14.2"
"20","undefined","","Josh Allen","BUF","at TEN","13","28","20.4","2.5","13.5"
"21","undefined","","Chase Daniel","CHI","at OAK","19","24","21.4","1.0","13.5"
"22","undefined","","Kyle Allen","CAR","vs. JAC","19","27","22.0","1.9","13.4"
"23","undefined","","Gardner Minshew","JAC","at CAR","18","27","22.3","2.2","13.1"
"24","undefined","","Teddy Bridgewater","NO","vs. TB","20","27","24.1","1.5","13.0"
"25","undefined","","Joe Flacco","DEN","at LAC","15","27","24.9","2.1","12.4"
"26","undefined","","Marcus Mariota","TEN","vs. BUF","18","29","25.3","2.1","12.3"
"27","undefined","","Mason Rudolph","PIT","vs. BAL","22","27","25.7","1.1","11.1"
"28","undefined","","Derek Carr","OAK","vs. CHI","23","29","27.8","0.9","10.1"
"29","undefined","","Luke Falk","NYJ","at PHI","27","30","29.3","0.6","6.9"
"30","undefined","","Colt McCoy","WAS","vs. NE","28","31","29.9","0.7","6.4"
"31","undefined","","Taysom Hill","NO","vs. TB","30","32","31.3","0.5","6.3"
"32","undefined","","Dwayne Haskins","WAS ","vs. NE","31","37","32.6","1.7","4.9"
"33","undefined","","Matt Barkley","BUF","at TEN","29","41","32.9","3.7","4.5"
"34","undefined","","Case Keenum","WAS ","vs. NE","33","34","33.6","0.5","4.4"
"35","undefined","","Blake Bortles","LAR","at SEA","36","37","36.5","0.5","0.9"
"36","undefined","","Mike Glennon","OAK","vs. CHI","35","45","40.0","5.0","0.9"
""
""
